,,,,,,,,
Morgenmad: Proteinsmoothie & Æg,,,, ,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Vanilie Skyr,194,19,0,8,231,,,
Havregryn,29,4,2,20,107,,,
Honning,6,0,0,5,19,,,
Æble,24,0,0,3,13,,,
Whey Proteinpulver (Shake),34,24,3,3,139,,,
Æg,117,14,12,0,161,,,
Total,404,60,9,16,7,39,6,670
,,,,,,,,
Frokost: Rugbrød m. Avocado & Serrano skinke,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Protein Rugbrød (1 Skive: 40-50g),148,25,8,31,325,,,
Serrano Skinke,37,11,6,0,101,,,
Avocado,63,1,9,6,101,,,
Smøreost - Arla buko light,16,3,1,1,26,,,
Whey Proteinpulver (Shake),28,20,2,3,117,,,
Total,292,60,27,40,670,,,
,,,,,,,,
Frokost: Hjemmelavet Tunbøf & Pastasalat,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Tun i vand,157,40,2,0,176,,,
Æg,174,21,19,2,261,,,
Havregryn,23,3,1,15,82,,,
Pasta,101,5,1,25,133,,,
Perberfrugt,90,1,0,4,18,,,
Total,546,70,24,47,670,,,
,,,,,,,,
Aftensmad: Tunomeleten,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Tun i vand,138,35,1,0,154,,,
Æg,206,25,23,2,310,,,
Tomat,70,0,0,4,18,,,
Rive-ost,7,2,1,0,15,,,
Protein bolle,83,14,4,17,174,,,
Total,503,76,29,23,670,,,
,,,,,,,,
Snack: Ricenut Snakken,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Riskiks,18,2,1,15,71,,,
Peanutbutter,15,3,8,3,99,,,
Rosiner,7,0,0,5,23,,,
Whey Proteinpulver (Shake),35,25,3,3,142,,,
Total,75,30,12,26,335,,,
,,,,,,,,
Morgenmad:Toast m. Røræg + Shake,,,, ,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Fuldkornstoast (33 g pr Toast),165,13,5,76,418,,,
Æg (1 Æg: 60-70 g),83,10,8,1,113,,,
Æggehvide (30 g pr),71,7,0,1,32,,,
Mælk (Skummetmælk),35,1,0,2,13,,,
Proteinpulver,24,18,2,1,95,,,
Total,379,49,9,14,7,80,3,670
,,,,,,,,
Frokost: Tunbøf & pastasalt m. Feta,,,, ,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Tun bøf,175,49,49,3,231,,,
Pasta,218,11,11,2,286,,,
Tomat,110,1,1,0,19,,,
Feta,49,7,7,10,129,,,
Total,,,,,,,,
,,,,,,,,
Frokost: Bepeaked burgeren,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Fuldkorn Burgerbolle (80 g pr bolle),97,9,7,43,278,,,
Hakke Oksekød 3-6%,177,37,8,0,225,,,
Mayonaise Light,6,0,3,0,27,,,
Agurk,22,0,0,1,3,,,
Salat,22,0,0,0,3,,,
Kartofler,177,4,0,30,135,,,
Total,502,50,18,74,670,,,
,,,,,,,,
Aftensmad: Grøn Biksemad m. Spejlæg,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Smør,3,0,3,0,24,,,
Kartofler,227,5,0,39,172,,,
Spinat,228,6,1,3,57,,,
Broccoli,227,12,1,3,88,,,
Æg (1 Æg: 60-70 g),57,7,5,1,77,,,
Parmesan (Revet),23,9,6,1,97,,,
Æggehvide,69,7,0,1,31,,,
Franskbrød,45,4,2,24,124,,,
Total,833,45,17,47,670,,,
,,,,,,,,
Snack: Æble + Shake,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Æble (110 g pr),341,1,1,48,177,,,
Proteinpulver,39,30,3,2,158,,,
Total,380,31,4,50,335,,,
